id_muestra,metal,resultado
TEC-AG-M19,Bario,0.13559371
TEC-AG-M19,Cadmio,1.74E-05
TEC-AG-M19,Cobre,0.0009473
TEC-AG-M19,Cromo Total,
TEC-AG-M19,Hierro,0.01671483
TEC-AG-M19,Manganeso,0.54779975
TEC-AG-M19,Mercurio,
TEC-AG-M19,Níquel,0.0044798
TEC-AG-M19,Selenio,
TEC-AG-M19,Plomo,
TEC-AG-M20,Arsénico,0.00085048
TEC-AG-M20,Bario,0.05906104
TEC-AG-M20,Cadmio,1.29E-05
TEC-AG-M20,Cobre,0.0014473
TEC-AG-M20,Cromo Total,0.00046652
TEC-AG-M20,Hierro,0.00190891
TEC-AG-M20,Manganeso,0.00015508
TEC-AG-M20,Mercurio,2.11E-06
TEC-AG-M20,Níquel,0.00140807
TEC-AG-M20,Selenio,
TEC-AG-M20,Plomo,
TEC-AG-M21,Arsénico,0.00116888
TEC-AG-M21,Bario,0.06915054
TEC-AG-M21,Cadmio,1.01E-05
TEC-AG-M21,Cobre,0.00020479
TEC-AG-M21,Cromo Total,
TEC-AG-M21,Hierro,0.00501787
TEC-AG-M21,Manganeso,0.01977448
TEC-AG-M21,Mercurio,
TEC-AG-M21,Níquel,
TEC-AG-M21,Selenio,
TEC-AG-M21,Plomo,
TEC-AG-M22,Arsénico,0.00305565
TEC-AG-M22,Bario,0.08744305
TEC-AG-M22,Cadmio,
TEC-AG-M22,Cobre,0.00028047
TEC-AG-M22,Cromo Total,2.51E-05
TEC-AG-M22,Hierro,0.00188899
TEC-AG-M22,Manganeso,0.10195652
TEC-AG-M22,Mercurio,
TEC-AG-M22,Níquel,
TEC-AG-M22,Selenio,
TEC-AG-M22,Plomo,
TEC-AG-M23,Arsénico,0.00232379
TEC-AG-M23,Bario,0.10225368
TEC-AG-M23,Cadmio,
TEC-AG-M23,Cobre,0.0004754
TEC-AG-M23,Cromo Total,0.00035275
TEC-AG-M23,Hierro,0.00317579
TEC-AG-M23,Manganeso,0.18436492
TEC-AG-M23,Mercurio,
TEC-AG-M23,Níquel,
TEC-AG-M23,Selenio,
TEC-AG-M23,Plomo,
TEC-AG-M24,Arsénico,0.00190794
TEC-AG-M24,Bario,0.01853586
TEC-AG-M24,Cadmio,6.10E-05
TEC-AG-M24,Cobre,0.00010334
TEC-AG-M24,Cromo Total,9.66E-05
TEC-AG-M24,Hierro,0.02436266
TEC-AG-M24,Manganeso,0.00172354
TEC-AG-M24,Mercurio,
TEC-AG-M24,Níquel,0.00030239
TEC-AG-M24,Selenio,0.00111388
TEC-AG-M24,Plomo,
TEC-AG-M25,Arsénico,0.00038965
TEC-AG-M25,Bario,0.04932157
TEC-AG-M25,Cadmio,9.65E-06
TEC-AG-M25,Cobre,8.10E-05
TEC-AG-M25,Cromo Total,8.28E-05
TEC-AG-M25,Hierro,0.37776705
TEC-AG-M25,Manganeso,0.2336298
TEC-AG-M25,Mercurio,
TEC-AG-M25,Níquel,0.00012957
TEC-AG-M25,Selenio,
TEC-AG-M25,Plomo,
TEC-AG-M26,Arsénico,0.00182217
TEC-AG-M26,Bario,0.06266085
TEC-AG-M26,Cadmio,7.37E-06
TEC-AG-M26,Cobre,0.00068299
TEC-AG-M26,Cromo Total,
TEC-AG-M26,Hierro,0.01381387
TEC-AG-M26,Manganeso,0.03761038
TEC-AG-M26,Mercurio,
TEC-AG-M26,Níquel,0.00018488
TEC-AG-M26,Selenio,
TEC-AG-M26,Plomo,
TEC-AG-M27,Arsénico,0.001541
TEC-AG-M27,Bario,0.06661471
TEC-AG-M27,Cadmio,5.54E-06
TEC-AG-M27,Cobre,0.00050206
TEC-AG-M27,Cromo Total,
TEC-AG-M27,Hierro,0.00759247
TEC-AG-M27,Manganeso,0.07479583
TEC-AG-M27,Mercurio,
TEC-AG-M27,Níquel,0.00023831
TEC-AG-M27,Selenio,
TEC-AG-M27,Plomo,
TEC-AG-M28,Arsénico,0.00185984
TEC-AG-M28,Bario,0.06757902
TEC-AG-M28,Cadmio,6.09E-06
TEC-AG-M28,Cobre,0.00052326
TEC-AG-M28,Cromo Total,
TEC-AG-M28,Hierro,0.0068385
TEC-AG-M28,Manganeso,0.16456423
TEC-AG-M28,Mercurio,
TEC-AG-M28,Níquel,0.00030975
TEC-AG-M28,Selenio,
TEC-AG-M28,Plomo,
TEC-AG-M29,Arsénico,0.00144315
TEC-AG-M29,Bario,0.07729315
TEC-AG-M29,Cadmio,
TEC-AG-M29,Cobre,0.00054721
TEC-AG-M29,Cromo Total,8.40E-05
TEC-AG-M29,Hierro,0.00764256
TEC-AG-M29,Manganeso,0.21893959
TEC-AG-M29,Mercurio,
TEC-AG-M29,Níquel,0.00088341
TEC-AG-M29,Selenio,
TEC-AG-M29,Plomo,
TEC-AG-M30,Arsénico,0.00177778
TEC-AG-M30,Bario,0.08476856
TEC-AG-M30,Cadmio,1.31E-05
TEC-AG-M30,Cobre,0.00051704
TEC-AG-M30,Cromo Total,3.97E-05
TEC-AG-M30,Hierro,0.00557512
TEC-AG-M30,Manganeso,0.16623801
TEC-AG-M30,Mercurio,2.82E-05
TEC-AG-M30,Níquel,0.00103869
TEC-AG-M30,Selenio,
TEC-AG-M30,Plomo,
VA-AG-M11,Arsénico,0.00134571
VA-AG-M11,Bario,0.0416579
VA-AG-M11,Cadmio,7.64E-06
VA-AG-M11,Cobre,0.00066344
VA-AG-M11,Cromo Total,
VA-AG-M11,Hierro,0.0040797
VA-AG-M11,Manganeso,0.52109596
VA-AG-M11,Mercurio,3.40E-05
VA-AG-M11,Níquel,0.00032811
VA-AG-M11,Selenio,0.0005819
VA-AG-M11,Plomo,
VA-AG-M12,Arsénico,0.001102637
VA-AG-M12,Bario,0.011571942
VA-AG-M12,Cadmio,
VA-AG-M12,Cobre,0.000680545
VA-AG-M12,Cromo Total,1.83E-06
VA-AG-M12,Hierro,0.001730487
VA-AG-M12,Manganeso,0.197329723
VA-AG-M12,Mercurio,2.02E-05
VA-AG-M12,Níquel,6.44E-05
VA-AG-M12,Selenio,
VA-AG-M12,Plomo,
VA-AG-M13,Arsénico,0.00072847
VA-AG-M13,Bario,0.01153096
VA-AG-M13,Cadmio,
VA-AG-M13,Cobre,0.00019762
VA-AG-M13,Cromo Total,5.11E-05
VA-AG-M13,Hierro,0.0133144
VA-AG-M13,Manganeso,0.11411531
VA-AG-M13,Mercurio,4.56E-05
VA-AG-M13,Níquel,1.69E-05
VA-AG-M13,Selenio,
VA-AG-M13,Plomo,
VA-AG-M14,Arsénico,0.001328409
VA-AG-M14,Bario,0.019107085
VA-AG-M14,Cadmio,
VA-AG-M14,Cobre,8.84E-05
VA-AG-M14,Cromo Total,2.06E-05
VA-AG-M14,Hierro,0.010469015
VA-AG-M14,Manganeso,0.132043117
VA-AG-M14,Mercurio,2.98E-05
VA-AG-M14,Níquel,-5.97E-05
VA-AG-M14,Selenio,
VA-AG-M14,Plomo,
VA-AG-M15,Arsénico,0.00090422
VA-AG-M15,Bario,0.03682594
VA-AG-M15,Cadmio,
VA-AG-M15,Cobre,0.00040234
VA-AG-M15,Cromo Total,
VA-AG-M15,Hierro,0.06163775
VA-AG-M15,Manganeso,0.21621386
VA-AG-M15,Mercurio,2.39E-05
VA-AG-M15,Níquel,3.91E-05
VA-AG-M15,Selenio,2.61E-05
VA-AG-M15,Plomo,
