CVEGEO,$CO$,$HCHO$,$NO_2$,$O_3$,$SO_2$,NOM_ENT,NOM_MUN,NOM_LOC,POB_TOTAL,GM_2020
0600700011717,3.395744022977126,0.0228955863654837,0.01147311826699864,19.53864404570544,0.011861793339574541,Colima,Manzanillo,Manzanillo,2619,3
0600700011721,0.9704336726663543,0.005552457574544334,0.0027657906167404054,4.944631195208521,0.0023682410562359743,Colima,Manzanillo,Manzanillo,1138,1
0600700011740,7.020719558140546,0.04013253947786207,0.020209085128957926,35.27135566995244,0.017477069884070454,Colima,Manzanillo,Manzanillo,333,1
0600700011755,1.1176188937533635,0.006594240491515778,0.003197488965255591,5.780762426032361,0.0031791680272749453,Colima,Manzanillo,Manzanillo,1733,2
060070001176A,1.2868426117244103,0.007459800950648796,0.0036735055416727406,6.598682808970822,0.0033598188039810975,Colima,Manzanillo,Manzanillo,2114,2
0600700011774,0.5168682478073942,0.002971575911120476,0.0014600557929339568,2.6371373686884256,0.0011948462812640982,Colima,Manzanillo,Manzanillo,785,3
0600700011789,0.911384250518879,0.005331692423941399,0.0025754545731505223,4.781911604495063,0.0026685078641714858,Colima,Manzanillo,Manzanillo,2463,2
0600700011793,7.857841824667129,0.04507893950986697,0.02261724933487,39.491234343776064,0.01729876850454034,Colima,Manzanillo,Manzanillo,2569,1
0600700011806,0.6460853097592428,0.003714469888900595,0.001825069741167446,3.2964217108605323,0.0014935578515801228,Colima,Manzanillo,Manzanillo,795,2
0600700011810,0.5175646254220553,0.002961310706423645,0.001475088328928216,2.6371366374445437,0.0012630618966591864,Colima,Manzanillo,Manzanillo,649,1
0600700011825,0.32343436728786806,0.00185146076680833,0.0009209906720804939,1.6482104441055823,0.0007851502094497984,Colima,Manzanillo,Manzanillo,408,1
060070001183A,3.3825095122383,0.020905834526297705,0.01117967554183154,17.736070783890117,0.012098621954211766,Colima,Manzanillo,Manzanillo,1269,1
0600700011844,2.988703431808506,0.017809035606237537,0.00893696359132949,15.205242435599214,0.008396164815288624,Colima,Manzanillo,Manzanillo,382,2
0600700011859,1.0351292508441112,0.00592262141284729,0.002950176657856432,5.274273274889088,0.0025261237933183727,Colima,Manzanillo,Manzanillo,353,1
0600700011863,0.5428434626802048,0.003202916810164806,0.0015530660688384296,2.8077988926442887,0.0015441673275335534,Colima,Manzanillo,Manzanillo,370,1
0600700011897,2.8087031210529805,0.016642031016500865,0.007958145493877586,14.837066485768704,0.009014321202582238,Colima,Manzanillo,Manzanillo,5705,2
060070001190A,1.181686085646963,0.006967862057518483,0.0033713628468946912,6.109984664432046,0.003292721633675197,Colima,Manzanillo,Manzanillo,1834,2
