Año,Fuente,Cve. Edo.,Entidad Fed.,PM10,PM2.5,SO2,CO,NOX,COV,NH3
2005,NATURALES,21,PUEBLA,,,,,"63,931.68","250,111.32",
2005,NATURALES,22,QUERETARO,,,,,"11,125.85","34,327.39",
2005,NATURALES,23,QUINTANA ROO,,,,,"20,686.51","1,618,367.54",
2005,NATURALES,24,SAN LUIS POTOSI,,,,,"70,134.11","243,993.15",
2005,NATURALES,25,SINALOA,,,,,"100,000.97","686,790.35",
2005,NATURALES,26,SONORA,,,,,"76,851.66","477,127.76",
2005,NATURALES,27,TABASCO,,,,,"67,679.72","226,521.61",
2005,NATURALES,28,TAMAULIPAS,,,,,"139,247.79","515,641.79",
2005,NATURALES,29,TLAXCALA,,,,,"6,730.08","10,360.69",
2005,NATURALES,30,VERACRUZ,,,,,"179,030.42","618,964.49",
2005,NATURALES,31,YUCATAN,,,,,"36,158.48","1,225,308.68",
2005,NATURALES,32,ZACATECAS,,,,,"58,033.57","160,727.31",
Notas:,,,,,,,,,,
Cantidades en toneladas.,,,,,,,,,,
"* Las cifras que se muestran como "".00"" representan cantidades menores a centecimas.  Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,,,,
