CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,area
"0600700011558","06","007","0001","1558",0.16
"0600700011647","06","007","0001","1647",0.07
"0600700011562","06","007","0001","1562",0.10
"0600700010761","06","007","0001","0761",0.79
"0600700011878","06","007","0001","1878",1.91
"0600700011613","06","007","0001","1613",0.28
"0600700011632","06","007","0001","1632",0.33
"0600700010189","06","007","0001","0189",0.23
"0600700010437","06","007","0001","0437",0.37
"0600700010992","06","007","0001","0992",0.12
060070001169A,"06","007","0001",169A,0.11
"0600700011223","06","007","0001","1223",0.55
060070001190A,"06","007","0001",190A,0.12
"0600700011882","06","007","0001","1882",0.18
"0600700011897","06","007","0001","1897",0.30
"0600700010831","06","007","0001","0831",1.42
"0600700011242","06","007","0001","1242",0.56
"0600700011651","06","007","0001","1651",0.36
"0600700011789","06","007","0001","1789",0.13
"0600700011863","06","007","0001","1863",0.05
"0600700440013","06","007","0044","0013",0.23
"0600700440028","06","007","0044","0028",0.15
"0600700440047","06","007","0044","0047",0.21
"0600700440066","06","007","0044","0066",0.41
"0600700011539","06","007","0001","1539",0.79
"0600700011859","06","007","0001","1859",0.10
"0600700010085","06","007","0001","0085",0.01
"0600800010078","06","008","0001","0078",0.27
060080001010A,"06","008","0001",010A,0.68
"0600800010133","06","008","0001","0133",0.23
"0600800010129","06","008","0001","0129",0.21
"0600800010114","06","008","0001","0114",0.34
"0600800010097","06","008","0001","0097",0.40
060090001086A,"06","009","0001",086A,0.75
060090001104A,"06","009","0001",104A,0.11
"0600900250287","06","009","0025","0287",0.50
"0600900250291","06","009","0025","0291",0.44
"0600900011073","06","009","0001","1073",0.01
"0600900110728","06","009","0011","0728",0.14
060090001022A,"06","009","0001",022A,0.59
"0600900010357","06","009","0001","0357",1.69
"0600900010465","06","009","0001","0465",0.29
060090001054A,"06","009","0001",054A,0.27
"0600900011105","06","009","0001","1105",0.58
"0600900110380","06","009","0011","0380",0.33
"0600900110395","06","009","0011","0395",0.57
"0600900110408","06","009","0011","0408",0.83
"0600900110427","06","009","0011","0427",0.58
"0600900111158","06","009","0011","1158",0.07
"0600900250304","06","009","0025","0304",0.48
"0600900250658","06","009","0025","0658",0.25
"0600900800431","06","009","0080","0431",0.46
"0600900800605","06","009","0080","0605",0.36
060090001111A,"06","009","0001",111A,0.04
"0600900010200","06","009","0001","0200",0.27
"0600900010272","06","009","0001","0272",0.32
"0600900010446","06","009","0001","0446",0.47
"0600900010516","06","009","0001","0516",0.47
"0600900010535","06","009","0001","0535",0.43
"0600900010569","06","009","0001","0569",0.46
"0600900010592","06","009","0001","0592",0.18
"0600900010696","06","009","0001","0696",0.43
"0600900010732","06","009","0001","0732",0.12
"0600900010766","06","009","0001","0766",0.21
"0600900010770","06","009","0001","0770",0.04
"0600900010802","06","009","0001","0802",0.02
"0600900010817","06","009","0001","0817",0.03
"0600900010889","06","009","0001","0889",0.11
"0600900010893","06","009","0001","0893",0.01
"0600900010906","06","009","0001","0906",0.16
"0600900010925","06","009","0001","0925",0.32
060090001093A,"06","009","0001",093A,0.36
"0600900010944","06","009","0001","0944",0.04
"0600900010959","06","009","0001","0959",0.01
"0600900010982","06","009","0001","0982",0.44
"0600900010997","06","009","0001","0997",0.31
"0600900011016","06","009","0001","1016",0.24
"0600900010785","06","009","0001","0785",0.02
"0600900010747","06","009","0001","0747",0.02
"0600900010499","06","009","0001","0499",0.45
"0600900010821","06","009","0001","0821",0.00
"0600900250840","06","009","0025","0840",0.03
"0600900010874","06","009","0001","0874",0.01
"0600900011069","06","009","0001","1069",0.01
"0600900011124","06","009","0001","1124",0.04
"0600900010484","06","009","0001","0484",0.38
"0600900010450","06","009","0001","0450",0.43
"0600900010501","06","009","0001","0501",0.45
060090001079A,"06","009","0001",079A,0.04
"0600900011035","06","009","0001","1035",0.14
"0600900011139","06","009","0001","1139",0.11
"0600900251088","06","009","0025","1088",0.02
"0600900010520","06","009","0001","0520",0.33
"0600900010978","06","009","0001","0978",0.05
"0600900010709","06","009","0001","0709",0.08
"0600900010323","06","009","0001","0323",0.58
"0600900010573","06","009","0001","0573",0.24
"0600900010234","06","009","0001","0234",0.11
060090001047A,"06","009","0001",047A,0.30
"0600900011001","06","009","0001","1001",0.21
"0600900010639","06","009","0001","0639",0.34
060090080061A,"06","009","0080",061A,0.36
"0600900800624","06","009","0080","0624",0.24
"0600900800713","06","009","0080","0713",0.01
"0600900251143","06","009","0025","1143",0.53
"0600900010836","06","009","0001","0836",0.08
"0600900010910","06","009","0001","0910",0.21
"0600900010554","06","009","0001","0554",0.30
"0600900010855","06","009","0001","0855",0.10
"0600900011054","06","009","0001","1054",0.09
"0600900010361","06","009","0001","0361",0.80
"0600900010963","06","009","0001","0963",0.12
"0600900011020","06","009","0001","1020",0.31
"0600900011092","06","009","0001","1092",0.36
"0600900010164","06","009","0001","0164",0.11
"0601000010841","06","010","0001","0841",0.06
"0601000010536","06","010","0001","0536",0.09
"0601000010150","06","010","0001","0150",0.42
060100001017A,"06","010","0001",017A,0.15
"0601000010790","06","010","0001","0790",0.18
"0601000010466","06","010","0001","0466",0.16
"0601000010339","06","010","0001","0339",0.31
"0601000010485","06","010","0001","0485",0.01
"0601000010729","06","010","0001","0729",0.16
"0601000010930","06","010","0001","0930",0.19
"0601000010907","06","010","0001","0907",0.10
"0601000011106","06","010","0001","1106",0.11
"0601000011318","06","010","0001","1318",0.42
"0601000010470","06","010","0001","0470",0.16
"0601000010131","06","010","0001","0131",0.33
"0601000010714","06","010","0001","0714",0.09
"0601000010428","06","010","0001","0428",0.19
"0601000011002","06","010","0001","1002",0.23
"0601000011290","06","010","0001","1290",0.05
"0601000010095","06","010","0001","0095",0.55
"0601000010432","06","010","0001","0432",0.34
"0601000010108","06","010","0001","0108",0.58
"0601000010146","06","010","0001","0146",0.54
"0601000010894","06","010","0001","0894",0.13
"0601000010165","06","010","0001","0165",0.22
"0601000010184","06","010","0001","0184",0.11
"0601000010199","06","010","0001","0199",0.26
"0601000010201","06","010","0001","0201",0.21
060100001024A,"06","010","0001",024A,0.31
"0601000011303","06","010","0001","1303",0.10
"0601000010343","06","010","0001","0343",0.21
"0601000010358","06","010","0001","0358",0.39
"0601000010362","06","010","0001","0362",0.23
060100001049A,"06","010","0001",049A,0.04
"0601000010502","06","010","0001","0502",0.14
"0601000010555","06","010","0001","0555",0.39
060100001056A,"06","010","0001",056A,0.20
"0601000010574","06","010","0001","0574",0.22
"0601000010606","06","010","0001","0606",0.30
"0601000010610","06","010","0001","0610",0.32
"0601000010625","06","010","0001","0625",0.33
"0601000010644","06","010","0001","0644",0.04
"0601000010659","06","010","0001","0659",0.10
"0601000010663","06","010","0001","0663",0.03
"0601000010678","06","010","0001","0678",0.13
"0601000010682","06","010","0001","0682",0.09
"0601000010697","06","010","0001","0697",0.12
"0601000010748","06","010","0001","0748",0.22
"0601000010767","06","010","0001","0767",0.29
"0601000010786","06","010","0001","0786",0.10
"0601000010822","06","010","0001","0822",0.05
060100001088A,"06","010","0001",088A,0.20
"0601000010911","06","010","0001","0911",0.05
"0601000010945","06","010","0001","0945",0.25
060100001095A,"06","010","0001",095A,0.23
"0601000010964","06","010","0001","0964",0.19
"0601000011233","06","010","0001","1233",0.09
"0601000011248","06","010","0001","1248",0.17
"0601000011271","06","010","0001","1271",0.04
060100001031A,"06","010","0001",031A,0.89
"0601000011040","06","010","0001","1040",0.13
"0601000010837","06","010","0001","0837",0.02
"0601000011267","06","010","0001","1267",0.14
"0601000011322","06","010","0001","1322",0.28
"0601000011197","06","010","0001","1197",0.02
"0601000010447","06","010","0001","0447",0.14
"0601000010983","06","010","0001","0983",0.16
"0601000010998","06","010","0001","0998",0.34
"0601000011021","06","010","0001","1021",0.05
"0601000011036","06","010","0001","1036",0.22
"0601000011110","06","010","0001","1110",0.07
"0601000011125","06","010","0001","1125",0.07
"0601000010979","06","010","0001","0979",0.21
"0601000011055","06","010","0001","1055",0.15
"0601000011356","06","010","0001","1356",0.09
"0601000010451","06","010","0001","0451",0.07
060100001106A,"06","010","0001",106A,0.17
"0601000011074","06","010","0001","1074",0.17
"0601000010112","06","010","0001","0112",0.20
"0601000010127","06","010","0001","0127",0.22
"0601000010589","06","010","0001","0589",0.27
"0601000010771","06","010","0001","0771",0.14
"0601000011252","06","010","0001","1252",0.17
"0601000010288","06","010","0001","0288",1.88
"0601000010860","06","010","0001","0860",0.02
"0601000010818","06","010","0001","0818",0.10
"0601000011286","06","010","0001","1286",0.07
060100001070A,"06","010","0001",070A,0.03
"0601000010305","06","010","0001","0305",1.25
"0601000010413","06","010","0001","0413",0.20
"0601000010856","06","010","0001","0856",0.09
"0601000011159","06","010","0001","1159",0.18
060100001120A,"06","010","0001",120A,0.02
"0601000010733","06","010","0001","0733",0.17
"0601000010521","06","010","0001","0521",0.32
"0601000010254","06","010","0001","0254",0.37
"0601000011089","06","010","0001","1089",0.15
"0601000010517","06","010","0001","0517",0.46
"0601000011229","06","010","0001","1229",0.20
"0601000010752","06","010","0001","0752",0.27
"0601000010926","06","010","0001","0926",0.13
"0601000011337","06","010","0001","1337",0.17
"0601000011182","06","010","0001","1182",0.36
"0601000010019","06","010","0001","0019",0.02
060100001138A,"06","010","0001",138A,0.05
"0601000010875","06","010","0001","0875",0.19
"0601000011093","06","010","0001","1093",0.10
"0601000011214","06","010","0001","1214",0.13
"0601000011341","06","010","0001","1341",0.10
"0601000011360","06","010","0001","1360",0.14
"0601000011163","06","010","0001","1163",0.09
"0601000011017","06","010","0001","1017",0.21
"0601000011178","06","010","0001","1178",0.08
"0601000011144","06","010","0001","1144",0.39
060100001113A,"06","010","0001",113A,0.32
"0601000011375","06","010","0001","1375",0.22
