Estado,CVE Estado,Categoría,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
San Luis Potosí,24,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de gas L.P.,0,0,0,0,0,7183.820159,0
San Luis Potosí,24,Fuentes industriales ligeras y comerciales,Actividades de construcción,1510.597462,151.0597462,0,0,0,0,0
San Luis Potosí,24,Fuentes industriales ligeras y comerciales,Asados al carbón,222.10068,177.2585527,0,442.1734238,8.139524607,28.53000605,0
San Luis Potosí,24,Fuentes industriales ligeras y comerciales,Panificación,0,0,0,0,0,116.6883316,0
San Luis Potosí,24,Fuentes misceláneas,Caminos pavimentados y no pavimentados,447.5042112,108.1640656,0,0,0,0,0
San Luis Potosí,24,Fuentes misceláneas,Emisiones domésticas de amoniaco,0,0,0,0,0,0,4900.647241
San Luis Potosí,24,Fuentes misceláneas,Esterilización de material hospitalario,0,0,0,0,0,1.18791,0
San Luis Potosí,24,Fuentes misceláneas,Incendios en construcción,0.390743797,0.364891183,0,6.204627408,0.147729224,0.384834629,0
San Luis Potosí,24,Fuentes misceláneas,Incendios forestales,332.0699633,281.7924116,30.7650403,3288.988763,98.97423406,229.6601093,32.97089587
San Luis Potosí,24,Fuentes misceláneas,Ladrilleras,5097.491219,4651.644689,421.2847139,1006.053048,232.6497674,113.1809679,0
San Luis Potosí,24,Manejo de Residuos,Aguas residuales,0,0,0,0,0,1629.796817,0
San Luis Potosí,24,Manejo de Residuos,Quema de residuos a cielo abierto,6.819480795,6.245208728,0.179460021,15.25410178,1.076760126,1.535459939,0
San Luis Potosí,24,Manejo de Residuos,Rellenos sanitarios,0,0,0,3.081760174,0,163.4085243,0
San Luis Potosí,24,Quema de combustibles en fuentes estacionarias,Combustión agrícola,2.238952131,2.238936821,0.079478248,18.35325283,32.2504189,1.126675893,0.001663535
San Luis Potosí,24,Quema de combustibles en fuentes estacionarias,Combustión comercial,8.351184556,8.351184556,0.326489598,70.3818519,119.2529112,4.347764778,0.044564363
San Luis Potosí,24,Quema de combustibles en fuentes estacionarias,Combustión doméstica,4112.802246,3960.674212,117.9460551,47981.2717,1733.172175,10544.06885,0.244674339
San Luis Potosí,24,Quema de combustibles en fuentes estacionarias,Combustión industrial,7.563375393,1.948919859,0.404871804,38.37826672,150.2789339,1.565858599,5.909953194
San Luis Potosí,24,Uso de Solventes,Artes gráficas,0,0,0,0,0,1006.134177,0
San Luis Potosí,24,Uso de Solventes,Asfaltado,0,0,0,0,0,261.8952624,0
San Luis Potosí,24,Uso de Solventes,Lavado en seco,0,0,0,0,0,286.1167554,0
San Luis Potosí,24,Uso de Solventes,Limpieza de superficies industriales,0,0,0,0,0,3154.680537,0
San Luis Potosí,24,Uso de Solventes,Pintado Automotriz,0,0,0,0,0,478.5220393,0
San Luis Potosí,24,Uso de Solventes,Pintura para señalización vial,0,0,0,0,0,263.8850088,0
San Luis Potosí,24,Uso de Solventes,Recubrimiento de superficies arquitectónicas,0,0,0,0,0,1026.224878,0
San Luis Potosí,24,Uso de Solventes,Recubrimiento de superficies en la industria,0,0,0,0,0,699.039053,0
San Luis Potosí,24,Uso de Solventes,Uso doméstico de solventes,0,0,0,0,0,4658.935195,0
Sinaloa,25,Agropecuarias,Aplicación de fertilizantes,0,0,0,0,0,0,9989.913939
Sinaloa,25,Agropecuarias,Aplicación de plaguicidas,0,0,0,0,0,297.7835861,0
Sinaloa,25,Agropecuarias,Corrales de engorda,370.2466764,42.28217044,0,0,0,0,0
Sinaloa,25,Agropecuarias,Emisiones ganaderas de amoniaco,0,0,0,0,0,0,18859.3506
Sinaloa,25,Agropecuarias,Labranza,12175.07363,2699.213823,0,0,0,0,0
Sinaloa,25,Agropecuarias,Quemas agrícolas,13205.67807,12684.41572,465.5595797,83265.77548,3877.88397,9106.56598,1664.386438
Sinaloa,25,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de combustibles,0,0,0,0,0,2766.162393,0
Sinaloa,25,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de gas L.P.,0,0,0,0,0,10342.44148,0
Sinaloa,25,Fuentes industriales ligeras y comerciales,Actividades de construcción,775.8012692,77.58012692,0,0,0,0,0
Sinaloa,25,Fuentes industriales ligeras y comerciales,Asados al carbón,240.6456705,192.0593096,0,479.0940759,8.819159656,30.91220808,0
Sinaloa,25,Fuentes industriales ligeras y comerciales,Panificación,0,0,0,0,0,111.4179395,0
Sinaloa,25,Fuentes misceláneas,Caminos pavimentados y no pavimentados,733.1068548,148.7146101,0,0,0,0,0
Sinaloa,25,Fuentes misceláneas,Emisiones domésticas de amoniaco,0,0,0,0,0,0,3887.857954
Sinaloa,25,Fuentes misceláneas,Esterilización de material hospitalario,0,0,0,0,0,0.88274,0
Sinaloa,25,Fuentes misceláneas,Incendios en construcción,1.410853559,1.31750786,0,22.40296766,0.533403992,1.389517399,0
Sinaloa,25,Fuentes misceláneas,Incendios forestales,183.6571097,155.8516937,16.89667591,1821.812286,54.36179678,127.2074952,18.27184923
Sinaloa,25,Fuentes misceláneas,Ladrilleras,624.7138175,570.0739023,51.62978621,123.2950118,28.51197149,13.87068883,0
Sinaloa,25,Manejo de Residuos,Aguas residuales,0,0,0,0,0,4363.370888,0
Sinaloa,25,Manejo de Residuos,Quema de residuos a cielo abierto,6.674224137,6.11218421,0.175637477,14.92918557,1.053824864,1.502754256,0
Sinaloa,25,Manejo de Residuos,Rellenos sanitarios,0,0,0,9.403578687,0,498.6192401,0
Sinaloa,25,Quema de combustibles en fuentes estacionarias,Combustión agrícola,1.432237091,1.432226956,0.050841458,11.74072329,20.6314566,0.720770262,0.001101216
Sinaloa,25,Quema de combustibles en fuentes estacionarias,Combustión comercial,7.92855618,7.92855618,0.281455073,64.94211294,114.0205036,3.982455272,0
Sinaloa,25,Quema de combustibles en fuentes estacionarias,Combustión doméstica,1581.448123,1523.472983,45.40960668,18398.50118,865.5787737,4025.19147,0.077655977
Sinaloa,25,Quema de combustibles en fuentes estacionarias,Combustión industrial,8.265681726,2.471712273,0.434163468,43.37709503,161.7060195,1.847219608,6.098915213
Sinaloa,25,Uso de Solventes,Artes gráficas,0,0,0,0,0,819.8923186,0
Sinaloa,25,Uso de Solventes,Asfaltado,0,0,0,0,0,210.9443374,0
Sinaloa,25,Uso de Solventes,Lavado en seco,0,0,0,0,0,273.3294144,0
Sinaloa,25,Uso de Solventes,Limpieza de superficies industriales,0,0,0,0,0,1140.186081,0
Sinaloa,25,Uso de Solventes,Pintado Automotriz,0,0,0,0,0,752.6205151,0
Sinaloa,25,Uso de Solventes,Pintura para señalización vial,0,0,0,0,0,145.2114208,0
Sinaloa,25,Uso de Solventes,Recubrimiento de superficies arquitectónicas,0,0,0,0,0,1404.948606,0
Sinaloa,25,Uso de Solventes,Recubrimiento de superficies en la industria,0,0,0,0,0,507.9490033,0
Sinaloa,25,Uso de Solventes,Uso doméstico de solventes,0,0,0,0,0,5852.136914,0
Sonora,26,Agropecuarias,Aplicación de fertilizantes,0,0,0,0,0,0,5124.10453
Sonora,26,Agropecuarias,Aplicación de plaguicidas,0,0,0,0,0,441.5269775,0
Sonora,26,Agropecuarias,Corrales de engorda,318.1818864,36.33637143,0,0,0,0,0
Sonora,26,Agropecuarias,Emisiones ganaderas de amoniaco,0,0,0,0,0,0,18548.50498
Sonora,26,Agropecuarias,Labranza,9110.642473,2019.829436,0,0,0,0,0
Sonora,26,Agropecuarias,Quemas agrícolas,5394.98149,5135.597527,310.233275,49612.62618,1840.736439,4207.202848,992.8383469
Sonora,26,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de combustibles,0,0,0,0,0,3048.294204,0
Sonora,26,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de gas L.P.,0,0,0,0,0,10701.26502,0
Sonora,26,Fuentes industriales ligeras y comerciales,Actividades de construcción,0,0,0,0,0,0,0
Sonora,26,Fuentes industriales ligeras y comerciales,Asados al carbón,237.6577536,189.6746531,0,473.145524,8.709658762,30.52839436,0
Sonora,26,Fuentes industriales ligeras y comerciales,Panificación,0,0,0,0,0,317.7029378,0
Sonora,26,Fuentes misceláneas,Caminos pavimentados y no pavimentados,533.7466316,129.1322496,0,0,0,0,0
Sonora,26,Fuentes misceláneas,Emisiones domésticas de amoniaco,0,0,0,0,0,0,4149.880286
Sonora,26,Fuentes misceláneas,Esterilización de material hospitalario,0,0,0,0,0,1.47089,0
Sonora,26,Fuentes misceláneas,Incendios en construcción,1.319878858,1.232552279,0,20.95837884,0.49900902,1.299918497,0
