CVE Estado,Estado,CVE Municipio,Municipio,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,005,Jesús María,Maquinaria agrícola,6.155287561,5.970628934,1.228821275,36.62769676,48.31600167,6.109151141,0
01,Aguascalientes,005,Jesús María,Motocicletas,1.012970079,0.896101025,2.792200671,700.1403985,34.07582985,57.72241899,1.836972469
01,Aguascalientes,005,Jesús María,Pickup y Veh<3.8Ton,5.088391241,4.563758244,6.267200126,1326.480746,232.0124076,127.0858816,1.695554473
01,Aguascalientes,005,Jesús María,Taxi,0.00134052,0.001183501,0.027550973,2.134785564,0.655994844,0.167504101,0.006360441
01,Aguascalientes,005,Jesús María,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,005,Jesús María,Tractocamión,10.70483119,9.848313919,1.459739388,18.01687858,44.82284501,3.367672261,0.102625864
01,Aguascalientes,005,Jesús María,Veh>3.8Ton,31.92343965,29.35573234,4.631066024,261.8889748,146.3177983,24.34445858,0.414216769
01,Aguascalientes,006,Pabellón de Arteaga,Autobús,2.375526531,2.185453061,0.474416327,8.121436735,20.97190204,1.210971429,0.025061224
01,Aguascalientes,006,Pabellón de Arteaga,Autos particulares,1.251141396,1.106903925,2.224199105,484.4553715,90.21998222,59.56430261,0.744834945
01,Aguascalientes,006,Pabellón de Arteaga,Camionetas particulares,0.347871791,0.307742548,0.850224162,165.0950207,33.18096078,18.31233948,0.230828166
01,Aguascalientes,006,Pabellón de Arteaga,Combi,0.189172447,0.173009634,0.589187861,33.32628709,7.883095376,2.574323699,0.11616185
01,Aguascalientes,006,Pabellón de Arteaga,Cruces fronterizos,0,0,0,0,0,0,0
01,Aguascalientes,006,Pabellón de Arteaga,Embarcaciones marinas,0,0,0,0,0,0,0
01,Aguascalientes,006,Pabellón de Arteaga,Equipos en aeropuertos,0,0,0,0,0,0,0
01,Aguascalientes,006,Pabellón de Arteaga,Locomotoras de patio,0,0,0,0,0,0,0
01,Aguascalientes,006,Pabellón de Arteaga,Locomotoras de recorrido,0.734645288,0.659935598,0.265634454,2.917828461,29.60579006,1.095742125,0
01,Aguascalientes,006,Pabellón de Arteaga,Maquinaria agrícola,7.237271702,7.020153551,1.444825015,43.06615908,56.80904884,7.183025365,0
01,Aguascalientes,006,Pabellón de Arteaga,Motocicletas,0.298715264,0.264251689,0.823393483,206.4647598,10.04863887,17.02179363,0.54170575
01,Aguascalientes,006,Pabellón de Arteaga,Pickup y Veh<3.8Ton,1.773973389,1.589412792,2.286242953,485.4821955,85.13981343,47.03477643,0.620620935
01,Aguascalientes,006,Pabellón de Arteaga,Taxi,0.004959925,0.004378955,0.101938599,7.898706585,2.427180923,0.619765175,0.02353363
01,Aguascalientes,006,Pabellón de Arteaga,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,006,Pabellón de Arteaga,Tractocamión,3.878562027,3.568229681,0.528891083,6.527854557,16.24016124,1.220171109,0.037183284
