SECTOR,CVE_ENT_1,ENTFED,PM10,PM2.5,SOX,CO,NOX,COV,NH3
Derivados del petróleo y carbón,15,México,37.51090985,7.876421914,86.82572429,221.6987448,51.59517198,0.394520395,1.305585428
Derivados del petróleo y carbón,16,Michoacán de Ocampo,1.8726,1.5495,0.092015738,0.0832,0.3266,0.0034,0.013
Derivados del petróleo y carbón,17,Morelos,5.524656534,2.922152687,0.1121,0.0986,0.3947,0.004,0.0158
Derivados del petróleo y carbón,19,Nuevo León,3.5251038,1.6321958,90.9891,2.5388,12.6022,0.1178,0.2025
Derivados del petróleo y carbón,20,Oaxaca,1.161731,1.0501,0.1169,0.1029,0.4118,0.0041,0.0165
Derivados del petróleo y carbón,21,Puebla,15.81350172,12.52238693,0.87368505,1.0286466,3.7132234,0.192548025,0.1218
Derivados del petróleo y carbón,24,San Luis Potosí,4.3264,2.8068,77.9141,0.7868,7.743497,0.042606,0.126
Derivados del petróleo y carbón,27,Tabasco,2.085520046,0.061111462,0.594618948,0.856926171,2.497557133,0.068521092,0.070906757
Derivados del petróleo y carbón,28,Tamaulipas,40.268,28.5489,0.0424,0.0373,0.1491,7.1055,0.006
Derivados del petróleo y carbón,31,Yucatán,1.9987,1.6561,0.0757,0.0666,0.2664,0.0027,0.0107
Extracción/Beneficio minerales no metálicos,2,Baja California,16.07516,10.77437,330.82306,74.372,282.7291,4.25676,0
Extracción/Beneficio minerales no metálicos,4,Campeche,285.226,172.61211,0,0,0,0,0
Extracción/Beneficio minerales no metálicos,5,Coahuila de Zaragoza,207.007269,126.5211994,267.907,3.8758,26.6382,0.2332,0.4218
Extracción/Beneficio minerales no metálicos,6,Colima,4.3492,2.15438,0.0609,0.0536,0.2146,0.0021,0.0086
Extracción/Beneficio minerales no metálicos,8,Chihuahua,1.70202001,1.686526465,5.406934485,4.420195323,21.34938002,0.182251369,0.700138515
Extracción/beneficio minerales no metálicos,9,Distrito Federal,0.874550491,0.437583121,0.007537644,0.0053082,0.0212328,0.000488745,7.51E-06
Extracción/beneficio minerales no metálicos,10,Durango,12.23760642,11.63622562,0.1639,1.8533,2.5811,0.1178,0.087
Extracción/beneficio minerales no metálicos,13,Hidalgo,821.730239,22.49212519,461.2826421,51.598924,119.0223417,0.693699869,0.032490084
Extracción/Beneficio minerales no metálicos,14,Jalisco,14.95143557,7.609159656,0.54109152,1.11922,5.207516,0.3518768,0.039724698
Extracción/Beneficio minerales no metálicos,15,México,0.894931237,0.541899797,1.40E-05,0.000444156,0.000555728,2.88E-05,0.083174022
Extracción/Beneficio minerales no metálicos,16,Michoacán de Ocampo,0.000008208,0.000008208,4.80E-09,4.60E-05,0.0003,0.00000475,0
Extracción/Beneficio minerales no metálicos,19,Nuevo León,2613.985994,1608.190015,118.7271,22.6318,37.8051,1.4287,0.9108
Extracción/Beneficio minerales no metálicos,21,Puebla,7.580683782,4.738727782,0.029538614,4.149006016,5.0027024,0.272170632,0.157846971
Extracción/Beneficio minerales no metálicos,22,Querétaro,0.0003,0.0001,0.0017,0.0015,0.0061,0.0001,0.0002
Extracción/Beneficio minerales no metálicos,24,San Luis Potosí,1.6253,0.9841,0,0,0,0,0
